Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Cereal production (metric tons),AG.PRD.CREL.MT,,22945358,23568117,24189927,22746329,22996908,23645383,32170667,25521609,27929322,28161845,32792275,34466343,27365422,36203464,34726798,36382308,37586018,37447796,34329215,38397322,45003485,36230066,31916865,30257205,39232395,40580615,37583567,44710433,45376965,39663834,41168615.58,31294451.73,42598525.85,46529657.97,37914124.58,50975166.79,46975957.5,44856484.17,44314305.64,47736934.86,48753858.7,48730962.97,50889737.01,52259637.88,57808454.62,56673580.63,58293694.3,62645591.85,66837501.46,74777734.34,75473363.45,76559659.78,80427044.74,90152806.82,79898073.66,82710487.44,94795980.58,95251871.5,89637680.62,100256098.9,102364898.3
Afghanistan,AFG,Cereal production (metric tons),AG.PRD.CREL.MT,,3695000,3696000,3378000,3732000,3785000,3489000,3826000,3916000,4038000,3512000,3319000,3950000,4270000,4351000,4481000,4624000,4147000,4382000,4214000,4072000,3893000,3724000,3591000,3418000,3242000,3084000,3394000,2997000,2834000,2705000,2721302.33,2470000,2981774.06,3144000,3242179.28,3241914.75,3682722.57,3875506.12,3256395.77,1940000,2108000,3737000,4381000,3560000,5425000,4638000,5786000,3950000,6514000,5957000,4681020,6379000,6520329,6748023.28,5808288,5532695.42,4892953.97,4133051.85,5583461,6025977,4663880.79
Africa Western and Central,AFW,Cereal production (metric tons),AG.PRD.CREL.MT,,15199359,16249447,16419357,16367923,16309479,14568709,16434157,15575299,18038051,17726002,17320573,13757553,16209840,19923163,18090195,16633672,16510190,16377644,16577215,17755270,18865515,19099220,18897609,20745222,24933077,27936922,28220526,31657192,32505418,30908317,34505317.44,35084257.99,36484706.16,36658444.09,39471031.12,38779821.54,38127674.96,40960840.84,42074861.12,39014257.99,40218419.63,42272424.27,46336913.9,45463462.21,51386028.56,55355635.79,52361362.67,61053954.68,52230163.85,60610773.28,51820984.43,60132435.78,57631048.44,64587889.48,66356180.53,73383519.03,73875802.36,78353801.59,77189614.8,78332287.23,76230055.48
Angola,AGO,Cereal production (metric tons),AG.PRD.CREL.MT,,544000,543000,515000,564000,562000,502000,515000,526148,648090,575915,522928,513417,548578,513764,558000,563000,430000,475000,361000,435000,316000,315000,337000,321000,308000,341400,364400,334400,272400,248500,372060,401800,322000,285000,296000,519375.76,448888.12,609612,541183,519635,601120,733819,736542.08,742341.31,914886,723305,780963,754711,1056844,1181944,1412826,509545.03,1674598.34,1823231.03,2019544.24,2363286.67,2496326.75,2877568.65,2920676.35,3075673.21,3053114.7
Albania,ALB,Cereal production (metric tons),AG.PRD.CREL.MT,,293932,313508,293449,350144,335293,433094,487464,502090,528519,538749,547485,585830,625498,646200,666500,857000,910400,932800,963800,880600,904200,970400,1067000,1039400,994900,1046000,1025800,997630,1033350,897000,446152,428918.16,665720,646026,645400,503714,602043,605746,497500,565800,502500,518800,488500,498800,511200,507500,493600,608500,630900,693800,701200,697400,702870,700370,695000,698430,701734,678196,666065,684023,691126.7
Andorra,AND,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Cereal production (metric tons),AG.PRD.CREL.MT,,14787753,21386977,21114354,19500269,20103932,16155821,20958955,24069845,22002233,21442559,22248849,26299491,19794838,23851158,24456532,27796801,20110915,24831772,21851834,26591773,25194986,25118562,23914245,21578202,32109145,33284038,28324916,37757734,32330064,36963120,45401935.43,42155370.13,39525695.95,46352183.93,37062178.02,52194514.79,38792804.01,46532626.5,39121788.71,35768991.43,43901500.55,46337976,55893124.35,52456135.01,52668941.17,58178294.01,50096102.52,46114946.09,57174199.27,48206128.09,55194598.13,52367553.58,60083157.14,57508427.78,55215214.48,49930538.16,53022579.53,51892745.81,57203938.58,53115261.03,53664448.92
United Arab Emirates,ARE,Cereal production (metric tons),AG.PRD.CREL.MT,,,,,,,,,,,,,,,,,,14,242,785,906,757,1780,1276,1536,1300,1175,874,544,1201,2877,6013.62,6779.49,4492.44,4952,4972,4701,4498,4308.68,4046.85,4037.21,3642.89,3133.91,2372.56,2210.4,2156.96,2216.51,1860,2378,3401,5336,4590.17,3779,772,2580,3695,5988,17143,8169.54,26072.05,26405,23638.73
Argentina,ARG,Cereal production (metric tons),AG.PRD.CREL.MT,,14512100,13961600,17331100,20821300,13843800,17317600,19575100,16296600,18477000,19922000,21975800,18834100,23861300,23608900,23040800,24891700,22506800,27700200,25071000,18652400,30014200,34328400,31687000,31849300,28074800,26130800,22947900,22336300,18133270,19142700,22838060,25622020,25568081,23789591,26281514,24089764,36698490,40418872,31936418,37983923,36655385,35057269,32473165,34193141,41947408,32262738,42067213,44956952,26147049,39769212,50916576,47372117,50742603,50794075.58,55980088.03,61148032.97,76397452.56,70591420.02,83616257.66,86572197.88,87691545.11
